# log_X, log_likelihood, tiebreaker, accepts, tries, exceeds, visits
0 -1.79769e+308 0 35457 35457 9604 25457
-0.981851 -829414 0.125538 26483 27653 10543 30886
-2.03786 -600008 0.228701 22996 24679 10039 28894
-3.08001 -487951 0.97562 20334 22352 9430 26041
-4.09138 -432669 0.639653 17511 19813 7903 22907
-5.13563 -400536 0.31642 13824 16221 6053 17779
-6.18452 -381149 0.605713 9761 11961 4123 11667
-7.20595 -368561 0.244628 6533 8289 2137 6069
-8.22227 -358692 0.962026 3199 4175 0 0
-9.22227 -350889 0.764629 0 0 0 0
